UserID,TrialNumber,Chart,Actual,Response,Accuracy
NPA4U3,35,radial_bar_chart,77.02702703,75,1.105696197
NPA4U3,36,pie_chart,8.450704225,8,-0.796600294
NPA4U3,37,pie_chart,21.21212121,18,1.73860409
NPA4U3,38,radial_bar_chart,46.51162791,40,2.73045039
NPA4U3,39,bar_chart,85.52631579,90,2.201221132
NPA4U3,40,radial_bar_chart,71.92982456,32,5.323904119
NPA4U3,41,pie_chart,88.88888889,78,3.461252054
NPA4U3,42,pie_chart,95.65217391,89,2.760683794
NPA4U3,43,radial_bar_chart,80,80,-3
NPA4U3,44,bar_chart,34.04255319,33,0.2234882779
NPA4U3,45,radial_bar_chart,15.09433962,10,2.383867281
NPA4U3,46,pie_chart,32.20338983,25,2.873496249
NPA4U3,47,pie_chart,90,98,3.022367813
NPA4U3,48,radial_bar_chart,28.81355932,50,4.413556219
NPA4U3,49,bar_chart,38.70967742,50,3.512899724
NPA4U3,50,radial_bar_chart,14.81481481,33,4.194574477
NPA4U3,51,bar_chart,38.02816901,28,3.343858188
NPA4U3,52,bar_chart,51.1627907,65,3.803455339
NPA4U3,53,pie_chart,59.30232558,65,2.541681951
NPA4U3,54,radial_bar_chart,43.75,50,2.672425342
NPA4U3,55,radial_bar_chart,34.32835821,30,2.154893661
NPA4U3,56,pie_chart,48.8372093,33,3.996588441
NPA4U3,57,radial_bar_chart,47.05882353,25,4.47143614
NPA4U3,58,radial_bar_chart,26.31578947,18,3.077377942
NPA4U3,59,pie_chart,22.85714286,20,1.57634937
NPA4U3,60,bar_chart,31.57894737,45,3.759800601
XggvUq,1,radial_bar_chart,91.54929577,18,6.20308946
XggvUq,2,bar_chart,83.78378378,90,2.664759569
XggvUq,3,bar_chart,80.3030303,88,2.967531947
XggvUq,4,radial_bar_chart,73.68421053,97,4.550949255
XggvUq,5,bar_chart,76.47058824,84,2.936291512
XggvUq,6,bar_chart,15.25423729,20,2.284147701
XggvUq,7,pie_chart,61.11111111,79,4.171037763
XggvUq,8,radial_bar_chart,56.81818182,42,3.901415466
XggvUq,9,pie_chart,38.15789474,36,1.190864339
XggvUq,10,radial_bar_chart,5.376344086,95,6.487818428
XggvUq,11,pie_chart,23.17073171,29,2.573924229
XggvUq,12,bar_chart,52.72727273,59,2.677559493
XggvUq,13,pie_chart,39.74358974,53,3.742158263
XggvUq,14,radial_bar_chart,74.19354839,66,3.056331795
XggvUq,15,bar_chart,5.208333333,6,-0.1255308821
XggvUq,16,radial_bar_chart,51.54639175,98,5.541595628
XggvUq,17,bar_chart,21.21212121,17,2.116737764
XggvUq,18,pie_chart,20,20,-3
XggvUq,19,bar_chart,96.59090909,61,5.158494938
XggvUq,20,radial_bar_chart,59.34065934,84,4.631356974
XggvUq,21,pie_chart,56.09756098,69,3.703481597
XggvUq,22,bar_chart,20,16,2.044394119
XggvUq,23,radial_bar_chart,67.70833333,98,4.926790153
XggvUq,24,radial_bar_chart,55.91397849,53,1.603586466
XggvUq,25,bar_chart,53.44827586,67,3.773650811
XggvUq,26,radial_bar_chart,41.33333333,98,5.827607346
XggvUq,27,pie_chart,78.33333333,91,3.677132345
XggvUq,28,radial_bar_chart,76.66666667,15,5.949340382
XggvUq,29,pie_chart,83.11688312,89,2.58691288
XggvUq,30,bar_chart,66.25,75,3.14974712
XggvUq,31,radial_bar_chart,34.54545455,61,4.732244528
XggvUq,32,pie_chart,51.2195122,50,0.4270828409
XggvUq,33,bar_chart,82.14285714,85,1.57634937
XggvUq,34,bar_chart,29.6875,40,3.383704292
XggvUq,35,bar_chart,15.11627907,17,1.006277146
XggvUq,36,pie_chart,20.68965517,20,-0.2957385709
XggvUq,37,pie_chart,18.18181818,37,4.24360677
XggvUq,38,pie_chart,39.65517241,48,3.082332602
XggvUq,39,pie_chart,16.66666667,24,2.898853277
XggvUq,40,radial_bar_chart,48.45360825,77,4.841540032
XggvUq,41,radial_bar_chart,45.26315789,30,3.943748633
XggvUq,42,bar_chart,87.91208791,97,3.203657247
XggvUq,43,bar_chart,77.01149425,85,3.02032542
XggvUq,44,radial_bar_chart,62.16216216,99,5.208003619
XggvUq,45,pie_chart,82.29166667,89,2.772589504
XggvUq,46,pie_chart,44.64285714,67,4.490707646
XggvUq,47,pie_chart,65.90909091,67,0.2820353678
XggvUq,48,bar_chart,47.36842105,49,0.8127684182
XggvUq,49,pie_chart,53.96825397,57,1.658438197
XggvUq,50,pie_chart,55.88235294,49,2.808869563
XggvUq,51,radial_bar_chart,96.90721649,78,4.250371683
XggvUq,52,radial_bar_chart,79.72972973,34,5.518998645
XggvUq,53,bar_chart,80,87,2.832890014
XggvUq,54,pie_chart,60.2739726,78,4.157935204
XggvUq,55,bar_chart,81.70731707,87,2.437675961
XggvUq,56,bar_chart,28.86597938,28,-0.01307305423
XggvUq,57,radial_bar_chart,36.53846154,98,5.944543137
XggvUq,58,pie_chart,29.31034483,35,2.539693638
XggvUq,59,radial_bar_chart,27.02702703,10,4.100307179
XggvUq,60,radial_bar_chart,46.25,89,5.422064766
4Ds8_Q,1,pie_chart,70.42253521,85,3.87798613
4Ds8_Q,2,bar_chart,15.78947368,20,2.116207142
4Ds8_Q,3,radial_bar_chart,63.91752577,66,1.142396594
4Ds8_Q,4,pie_chart,39.43661972,48,3.11908725
4Ds8_Q,5,radial_bar_chart,55.55555556,30,4.682604508
4Ds8_Q,6,radial_bar_chart,92.13483146,40,5.707630567
4Ds8_Q,7,radial_bar_chart,39.50617284,15,4.62241342
4Ds8_Q,8,radial_bar_chart,33.33333333,75,5.38514339
4Ds8_Q,9,bar_chart,58.33333333,60,0.841302254
4Ds8_Q,10,bar_chart,58.90410959,45,3.810351541
4Ds8_Q,11,radial_bar_chart,86.59793814,30,5.825860358
4Ds8_Q,12,radial_bar_chart,82.79569892,75,2.98562774
4Ds8_Q,13,pie_chart,93.33333333,90,1.790076931
4Ds8_Q,14,pie_chart,65.11627907,60,2.389918927
4Ds8_Q,15,pie_chart,94.11764706,90,2.084964667
4Ds8_Q,16,pie_chart,10.12658228,8,1.170939198
4Ds8_Q,17,pie_chart,67.74193548,80,3.630296487
4Ds8_Q,18,bar_chart,70.83333333,75,2.101538026
4Ds8_Q,19,radial_bar_chart,44.44444444,90,5.513508291
