participant,trial_num,type,true_value,reported_value,error
4,58,pie,45,33.0,12.0
4,59,pie,60,45.0,15.0
4,60,bar,55,60.0,-5.0
5,1,bubble,80,95.0,-15.0
5,2,bubble,35,70.0,-35.0
5,3,bubble,5,10.0,-5.0
5,4,bubble,100,97.0,3.0
5,5,pie,60,55.0,5.0
5,6,bubble,45,80.0,-35.0
5,7,bubble,95,50.0,45.0
5,8,pie,80,75.0,5.0
5,9,bar,10,15.0,-5.0
5,10,bubble,25,50.0,-25.0
5,11,bar,95,98.0,-3.0
5,12,bubble,20,38.0,-18.0
5,13,bubble,40,50.0,-10.0
5,14,bubble,85,95.0,-10.0
5,15,bar,70,75.0,-5.0
5,16,pie,95,95.0,0.0
5,17,pie,100,50.0,50.0
5,18,pie,40,60.0,-20.0
5,19,bubble,70,90.0,-20.0
5,20,pie,10,10.0,0.0
5,21,bar,80,80.0,0.0
5,22,bar,75,62.0,13.0
5,23,bar,5,5.0,0.0
5,24,bar,35,40.0,-5.0
5,25,bar,15,12.0,3.0
5,26,bar,50,60.0,-10.0
5,27,bar,45,48.0,-3.0
5,28,bar,30,40.0,-10.0
5,29,pie,55,50.0,5.0
5,30,bubble,60,95.0,-35.0
5,31,bubble,90,98.0,-8.0
5,32,pie,75,87.0,-12.0
5,33,bubble,65,95.0,-30.0
5,34,bubble,30,50.0,-20.0
5,35,bar,25,30.0,-5.0
5,36,pie,5,5.0,0.0
5,37,bar,20,20.0,0.0
5,38,bubble,75,90.0,-15.0
5,39,pie,50,50.0,0.0
5,40,pie,30,40.0,-10.0
5,41,pie,70,75.0,-5.0
5,42,bar,90,80.0,10.0
5,43,pie,65,70.0,-5.0
5,44,pie,20,20.0,0.0
5,45,bar,65,60.0,5.0
5,46,pie,85,90.0,-5.0
5,47,bubble,50,85.0,-35.0
5,48,bar,100,50.0,50.0
5,49,bubble,10,20.0,-10.0
5,50,bar,85,80.0,5.0
5,51,bubble,15,25.0,-10.0
5,52,pie,35,45.0,-10.0
5,53,bar,40,45.0,-5.0
5,54,pie,90,95.0,-5.0
5,55,pie,15,10.0,5.0
5,56,pie,45,78.0,-33.0
5,57,bubble,55,90.0,-35.0
5,58,bar,55,55.0,0.0
5,59,bar,60,65.0,-5.0
5,60,pie,25,30.0,-5.0
6,1,bar,90,90.0,0.0
6,2,pie,35,20.0,15.0
6,3,pie,20,15.0,5.0
6,4,bubble,55,60.0,-5.0
6,5,bubble,50,50.0,0.0
6,6,bar,25,20.0,5.0
6,7,bar,70,75.0,-5.0
6,8,bar,10,10.0,0.0
6,9,pie,55,30.0,25.0
6,10,bar,75,70.0,5.0
6,11,pie,75,60.0,15.0
6,12,bubble,35,50.0,-15.0
6,13,pie,60,30.0,30.0
6,14,bubble,75,85.0,-10.0
6,15,pie,10,5.0,5.0
6,16,bar,40,40.0,0.0
6,17,bubble,45,40.0,5.0
6,18,bar,20,15.0,5.0
6,19,bar,95,95.0,0.0
6,20,pie,100,95.0,5.0
6,21,bubble,40,60.0,-20.0
6,22,pie,5,5.0,0.0
6,23,pie,25,20.0,5.0
6,24,bar,45,40.0,5.0
6,25,bar,55,55.0,0.0
6,26,bar,5,5.0,0.0
6,27,bubble,20,35.0,-15.0
6,28,bubble,10,5.0,5.0
6,29,pie,45,30.0,15.0
6,30,bubble,15,10.0,5.0
6,31,bubble,90,95.0,-5.0
6,32,bubble,60,50.0,10.0
6,33,bubble,25,20.0,5.0
6,34,bar,65,55.0,10.0
6,35,pie,90,90.0,0.0
6,36,bar,50,45.0,5.0
6,37,bar,60,65.0,-5.0
6,38,bubble,80,90.0,-10.0
6,39,pie,80,90.0,-10.0
6,40,pie,70,70.0,0.0
6,41,bar,80,80.0,0.0
6,42,bar,15,10.0,5.0
6,43,bubble,95,95.0,0.0
6,44,pie,85,90.0,-5.0
6,45,pie,50,40.0,10.0
6,46,bar,100,100.0,0.0
6,47,pie,40,25.0,15.0
6,48,bubble,70,30.0,40.0
6,49,bubble,85,90.0,-5.0
6,50,bubble,30,20.0,10.0
6,51,bubble,65,90.0,-25.0
6,52,pie,95,95.0,0.0
6,53,bar,30,25.0,5.0
6,54,pie,30,15.0,15.0
6,55,bubble,5,5.0,0.0
6,56,pie,15,5.0,10.0
6,57,bubble,100,100.0,0.0
6,58,bar,35,35.0,0.0
6,59,bar,85,80.0,5.0
6,60,pie,65,50.0,15.0
7,1,bubble,100,50.0,50.0
7,2,bubble,35,50.0,-15.0
7,3,bubble,55,75.0,-20.0
7,4,pie,85,90.0,-5.0
7,5,pie,25,30.0,-5.0
7,6,pie,50,50.0,0.0
7,7,bar,10,30.0,-20.0
7,8,bar,70,90.0,-20.0
7,9,pie,75,80.0,-5.0
7,10,pie,60,50.0,10.0
7,11,pie,70,50.0,20.0
